Date_onset,Cases_confirmed
8.002059062261267, 1.0044642857142847
11.015428046218487, 1.0044642857142847
12.00364066080978, 3.080357142857144
14.986260981665394, 3.080357142857144
17.01759453781513, 4.017857142857144
17.997570903361343, 2.075892857142861
18.98152812261268, 2.075892857142861
20.01051016997708, 9.040178571428573
21.01492074102368, 4.017857142857144
22.037862872421698, 8.035714285714286
23.011524780366692, 3.0133928571428577
24.03034878724217, 5.022321428571431
25.008266090527123, 2.075892857142861
26.05358336516425, 2.008928571428573
27.02326441940413, 10.044642857142858
28.0051625763942, 9.040178571428573
29.021927521008408, 10.044642857142858
30.040751527883877, 12.053571428571429
31.024846017952633, 12.120535714285715
