dateOnset,nb_confirmed
2019-12-12,1
2019-12-13,2
2019-12-14,1
2019-12-15,2
2019-12-16,1
2019-12-17,1
2019-12-19,1
2019-12-20,3
2019-12-21,2
2019-12-22,2
2019-12-23,1
2019-12-24,2
2019-12-25,1
