dateOnset,nb_confirmed
2019-12-02,1
2019-12-08,1
2019-12-11,1
2019-12-12,4
2019-12-15,4
2019-12-16,1
2019-12-17,7
2019-12-18,3
2019-12-19,2
2019-12-20,12
2019-12-21,6
2019-12-22,11
2019-12-23,13
2019-12-24,12
2019-12-25,13
2019-12-26,7
2019-12-27,26
2019-12-28,11
2019-12-29,16
2019-12-30,24
2019-12-31,16
